pokemon_item,set,ungraded,grade_nine,grade_ten,date(D/M/Y)
Squirtle [Foil] #E7,pokemon-1999-topps-movie-evolution,5.34,25.25,66.00,06/07/2024
Dratini #E10,pokemon-1999-topps-movie-evolution,1.98,33.00,40.00,06/07/2024
Dratini [Rainbow Foil] #E10,pokemon-1999-topps-movie-evolution,6.50,N/A,495.00,06/07/2024
Dratini [Foil] #E10,pokemon-1999-topps-movie-evolution,1.99,29.00,N/A,06/07/2024
Venusaur [Foil] #E3,pokemon-1999-topps-movie-evolution,8.00,52.00,N/A,06/07/2024
Charmander [Foil] #E4,pokemon-1999-topps-movie-evolution,7.75,N/A,N/A,06/07/2024
Ivysaur [Foil] #E2,pokemon-1999-topps-movie-evolution,2.30,24.67,N/A,06/07/2024
Charmeleon [Rainbow Foil] #E5,pokemon-1999-topps-movie-evolution,30.21,51.00,N/A,06/07/2024
Venusaur [Rainbow Foil] #E3,pokemon-1999-topps-movie-evolution,40.00,19.95,N/A,06/07/2024
Dragonair [Rainbow Foil] #E11,pokemon-1999-topps-movie-evolution,51.00,N/A,N/A,06/07/2024
Ivysaur [Rainbow Foil] #E2,pokemon-1999-topps-movie-evolution,25.58,N/A,N/A,06/07/2024
Wartortle [Rainbow Foil] #E8,pokemon-1999-topps-movie-evolution,14.54,37.00,N/A,06/07/2024
Dragonite [Promo] #149,pokemon-1999-topps-movie-evolution,N/A,N/A,N/A,06/07/2024
Dragonair [Foil] #E11,pokemon-1999-topps-movie-evolution,0.50,20.00,N/A,06/07/2024
Charizard #3,pokemon-2020-battle-academy,4.25,19.31,34.88,06/07/2024
Mewtwo GX #31,pokemon-2020-battle-academy,3.26,13.35,28.69,06/07/2024
Charizard GX #60,pokemon-2020-battle-academy,13.28,15.09,39.08,06/07/2024
Raichu GX #60,pokemon-2020-battle-academy,2.20,10.50,19.99,06/07/2024
Mew #32,pokemon-2020-battle-academy,1.00,4.33,25.41,06/07/2024
Espeon #89,pokemon-2020-battle-academy,2.28,6.50,24.97,06/07/2024
Eevee #49,pokemon-2020-battle-academy,0.25,N/A,34.16,06/07/2024
Fire Energy #11,pokemon-2020-battle-academy,N/A,N/A,6.98,06/07/2024
Pikachu #30,pokemon-2020-battle-academy,N/A,N/A,43.18,06/07/2024
Charmander #1,pokemon-2020-battle-academy,0.50,N/A,N/A,06/07/2024
Charmander #42,pokemon-2020-battle-academy,1.24,N/A,16.89,06/07/2024
Fire Energy #10,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Pikachu #15,pokemon-2020-battle-academy,N/A,17.94,44.99,06/07/2024
Pikachu #2,pokemon-2020-battle-academy,26.99,6.00,25.00,06/07/2024
Charmeleon #30,pokemon-2020-battle-academy,0.50,N/A,9.50,06/07/2024
Charmeleon #51,pokemon-2020-battle-academy,0.50,N/A,14.50,06/07/2024
Alolan Raichu #56,pokemon-2020-battle-academy,2.20,N/A,N/A,06/07/2024
Charmeleon #15,pokemon-2020-battle-academy,0.38,N/A,20.00,06/07/2024
Electropower #34,pokemon-2020-battle-academy,1.25,N/A,N/A,06/07/2024
Snorlax #50,pokemon-2020-battle-academy,1.00,N/A,N/A,06/07/2024
Psychic Energy,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Blitzle #1,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Lightning Energy #10,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Mareanie #105,pokemon-2020-battle-academy,0.38,N/A,N/A,06/07/2024
Lightning Energy #11,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Cynthia #119,pokemon-2020-battle-academy,0.25,N/A,N/A,06/07/2024
Great Ball #119,pokemon-2020-battle-academy,0.25,N/A,N/A,06/07/2024
Fire Energy #12,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Lightning Energy #12,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Hau #120,pokemon-2020-battle-academy,0.25,N/A,N/A,06/07/2024
Pokemon Catcher #126,pokemon-2020-battle-academy,0.38,N/A,N/A,06/07/2024
Potion #127,pokemon-2020-battle-academy,0.25,N/A,N/A,06/07/2024
Hau #13,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Salandit #13,pokemon-2020-battle-academy,0.50,N/A,N/A,06/07/2024
Switch #132,pokemon-2020-battle-academy,0.25,N/A,N/A,06/07/2024
Potion #14,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Tauros #14,pokemon-2020-battle-academy,0.50,N/A,N/A,06/07/2024
Charmander #16,pokemon-2020-battle-academy,0.50,N/A,N/A,06/07/2024
Zebstrika #16,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Fire Energy #17,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Lightning Energy #17,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Lightning Energy #18,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Salandit #18,pokemon-2020-battle-academy,0.50,N/A,N/A,06/07/2024
Bug Catcher #189,pokemon-2020-battle-academy,0.25,N/A,N/A,06/07/2024
Blitzle #19,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Fire Energy #19,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Fire Energy #2,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Fire Energy #20,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Potion #20,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Cynthia #21,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Lightning Energy #21,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Fire Energy #22,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Lightning Energy #22,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Salazzle #23,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Zebstrika #23,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Cynthia #24,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Fire Energy #24,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Alolan Raichu #25,pokemon-2020-battle-academy,N/A,N/A,28.08,06/07/2024
Salandit #25,pokemon-2020-battle-academy,0.25,N/A,N/A,06/07/2024
Welder #25,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Bug Catcher #26,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Eevee #26,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Flareon #27,pokemon-2020-battle-academy,N/A,10.05,N/A,06/07/2024
Lightning Energy #27,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Volcarona #27,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Hau #28,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Pokemon Fan Club #28,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Fire Energy #29,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Great Ball #29,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Fire Energy #3,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Lightning Energy #3,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Lightning Energy #31,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Salandit #31,pokemon-2020-battle-academy,0.50,N/A,N/A,06/07/2024
Electivire #32,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Fire Energy #32,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Great Ball #33,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Hau #33,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Bug Catcher #34,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Fire Energy #35,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Lightning Energy #35,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Eevee #36,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Switch #36,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Potion #37,pokemon-2020-battle-academy,0.25,N/A,N/A,06/07/2024
Tauros #37,pokemon-2020-battle-academy,0.50,N/A,N/A,06/07/2024
Fire Energy #38,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Great Ball #38,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Charizard #39,pokemon-2020-battle-academy,N/A,15.00,38.13,06/07/2024
Lightning Energy #39,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Kangaskhan #4,pokemon-2020-battle-academy,0.50,N/A,N/A,06/07/2024
Lightning Energy #4,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Potion #40,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Switch #40,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Electabuzz #41,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Hau #41,pokemon-2020-battle-academy,0.25,N/A,N/A,06/07/2024
Hau #42,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Great Ball #43,pokemon-2020-battle-academy,0.25,N/A,N/A,06/07/2024
Lightning Energy #43,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Bug Catcher #44,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Flareon #44,pokemon-2020-battle-academy,N/A,N/A,27.49,06/07/2024
Volcarona #44,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Blitzle #45,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Pokemon Fan Club #45,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Bug Catcher #46,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Moltres #46,pokemon-2020-battle-academy,N/A,4.25,17.19,06/07/2024
Bug Catcher #47,pokemon-2020-battle-academy,0.25,N/A,N/A,06/07/2024
Chansey #47,pokemon-2020-battle-academy,0.50,0.66,N/A,06/07/2024
Great Ball #48,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Lightning Energy #48,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Great Ball #49,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Salazzle #49,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Chansey #5,pokemon-2020-battle-academy,0.50,N/A,N/A,06/07/2024
Fire Energy #5,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Cynthia #50,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Bug Catcher #51,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Hau #52,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Switch #52,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Electivire #53,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Kangaskhan #53,pokemon-2020-battle-academy,0.50,N/A,N/A,06/07/2024
Hau #54,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Pokemon Catcher #54,pokemon-2020-battle-academy,0.50,N/A,N/A,06/07/2024
Great Ball #55,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Pikachu #55,pokemon-2020-battle-academy,N/A,N/A,49.90,06/07/2024
Charmander #56,pokemon-2020-battle-academy,0.50,N/A,35.00,06/07/2024
Great Ball #57,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Hau #57,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Electabuzz #58,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Switch #58,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Cynthia [Charizard] #59,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Cynthia [Pikachu] #59,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Electabuzz #6,pokemon-2020-battle-academy,N/A,N/A,33.22,06/07/2024
Fire Energy #6,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Lightning Energy #7,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Salazzle #7,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Fire Energy #8,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Lightning Energy #8,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Mesprit #84,pokemon-2020-battle-academy,0.25,N/A,N/A,06/07/2024
Cresselia #87,pokemon-2020-battle-academy,0.25,N/A,N/A,06/07/2024
Fire Energy #9,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Lightning Energy #9,pokemon-2020-battle-academy,N/A,N/A,N/A,06/07/2024
Toxapex #97,pokemon-2020-battle-academy,0.38,N/A,N/A,06/07/2024
M Rayquaza EX #98,pokemon-ancient-origins,81.71,253.12,796.85,06/07/2024
Gyarados #21,pokemon-ancient-origins,9.00,43.54,277.82,06/07/2024
M Tyranitar EX #43,pokemon-ancient-origins,5.75,30.59,77.81,06/07/2024
Primal Kyogre #96,pokemon-ancient-origins,57.27,179.50,575.00,06/07/2024
Primal Groudon #97,pokemon-ancient-origins,40.00,154.83,523.67,06/07/2024
Lugia EX #94,pokemon-ancient-origins,34.50,129.99,457.55,06/07/2024
Lugia EX #68,pokemon-ancient-origins,4.73,25.87,63.90,06/07/2024
Ace Trainer #69,pokemon-ancient-origins,0.99,N/A,N/A,06/07/2024
Giratina EX #57,pokemon-ancient-origins,6.87,28.01,97.50,06/07/2024
M Ampharos EX #28,pokemon-ancient-origins,5.06,19.05,71.61,06/07/2024
M Sceptile EX #85,pokemon-ancient-origins,19.91,52.00,165.69,06/07/2024
Hex Maniac #75a,pokemon-ancient-origins,63.81,136.00,397.59,06/07/2024
M Sceptile EX #8,pokemon-ancient-origins,7.20,19.95,82.08,06/07/2024
Tyranitar EX #42,pokemon-ancient-origins,3.67,28.04,59.00,06/07/2024
Giratina EX #93,pokemon-ancient-origins,26.75,79.99,266.79,06/07/2024
Tyranitar EX #91,pokemon-ancient-origins,15.75,60.00,198.63,06/07/2024
M Tyranitar EX #92,pokemon-ancient-origins,15.00,64.62,158.95,06/07/2024
Entei #15,pokemon-ancient-origins,2.97,16.25,69.00,06/07/2024
Jolteon [Reverse Holo] #26,pokemon-ancient-origins,4.14,39.57,42.50,06/07/2024
Baltoy #32,pokemon-ancient-origins,1.22,8.01,24.00,06/07/2024
Regirock #40,pokemon-ancient-origins,1.86,14.97,40.42,06/07/2024
Hoopa EX #36,pokemon-ancient-origins,2.63,23.96,34.54,06/07/2024
M Ampharos EX #88,pokemon-ancient-origins,13.02,49.43,140.64,06/07/2024
Hoopa EX #89,pokemon-ancient-origins,6.71,30.17,89.45,06/07/2024
Metagross #49,pokemon-ancient-origins,1.84,15.68,26.00,06/07/2024
Goodra #60,pokemon-ancient-origins,1.98,17.59,34.99,06/07/2024
Meowth #61,pokemon-ancient-origins,1.12,13.60,36.22,06/07/2024
Vaporeon [Reverse Holo] #22,pokemon-ancient-origins,3.45,20.92,33.58,06/07/2024
Ace Trainer [Reverse Holo] #69,pokemon-ancient-origins,1.70,15.51,39.53,06/07/2024
Virizion #12,pokemon-ancient-origins,1.18,20.52,49.95,06/07/2024
Flareon [Reverse Holo] #13,pokemon-ancient-origins,2.69,22.55,99.99,06/07/2024
Volcarona #17,pokemon-ancient-origins,1.31,25.83,50.78,06/07/2024
Metagross #50,pokemon-ancient-origins,2.21,12.50,45.00,06/07/2024
Regice #24,pokemon-ancient-origins,1.10,22.00,39.99,06/07/2024
Kyurem EX #86,pokemon-ancient-origins,9.99,37.25,110.25,06/07/2024
Golurk #41,pokemon-ancient-origins,0.97,N/A,N/A,06/07/2024
Porygon-Z [Reverse Holo] #67,pokemon-ancient-origins,1.99,25.45,30.00,06/07/2024
Magikarp [Reverse Holo] #19,pokemon-ancient-origins,1.85,16.00,325.00,06/07/2024
Gyarados [Reverse Holo] #20,pokemon-ancient-origins,3.25,19.41,56.77,06/07/2024
Gardevoir [Reverse Holo] #54,pokemon-ancient-origins,3.75,12.52,51.02,06/07/2024
M Rayquaza EX [Jumbo] #98,pokemon-ancient-origins,20.00,N/A,N/A,06/07/2024
Flareon #13,pokemon-ancient-origins,1.99,13.50,21.00,06/07/2024
Entei [Reverse Holo] #14,pokemon-ancient-origins,1.95,11.50,63.50,06/07/2024
Vileplume #3,pokemon-ancient-origins,1.63,15.29,39.13,06/07/2024
Registeel #51,pokemon-ancient-origins,1.49,22.00,108.88,06/07/2024
Steven #95,pokemon-ancient-origins,11.29,30.52,134.16,06/07/2024
Gyarados [Reverse Holo] #21,pokemon-ancient-origins,11.74,44.00,245.46,06/07/2024
Kyurem EX #25,pokemon-ancient-origins,3.35,13.50,40.44,06/07/2024
Malamar #46,pokemon-ancient-origins,1.18,N/A,N/A,06/07/2024
Vespiquen #11,pokemon-ancient-origins,1.31,12.81,65.00,06/07/2024
Ampharos EX #27,pokemon-ancient-origins,3.34,32.81,39.00,06/07/2024
Gardevoir #54,pokemon-ancient-origins,3.48,23.50,135.00,06/07/2024
Persian #62,pokemon-ancient-origins,1.02,13.31,35.71,06/07/2024
Booster Box,pokemon-ancient-origins,932.69,N/A,N/A,06/07/2024
Jolteon #26,pokemon-ancient-origins,2.50,15.29,87.69,06/07/2024
Gyarados #20,pokemon-ancient-origins,2.64,30.67,84.17,06/07/2024
Machamp EX #90,pokemon-ancient-origins,10.13,32.00,117.60,06/07/2024
Bellossom #4,pokemon-ancient-origins,1.97,23.00,41.03,06/07/2024
Porygon-Z #67,pokemon-ancient-origins,1.98,12.00,57.35,06/07/2024
Sceptile EX #7,pokemon-ancient-origins,2.76,10.95,48.14,06/07/2024
Sceptile EX #84,pokemon-ancient-origins,14.00,58.05,215.83,06/07/2024
Gloom #2,pokemon-ancient-origins,1.21,13.92,29.99,06/07/2024
Golurk #35,pokemon-ancient-origins,1.81,15.87,42.02,06/07/2024
Machamp EX #37,pokemon-ancient-origins,3.42,24.22,52.96,06/07/2024
Porygon #64,pokemon-ancient-origins,1.11,13.60,152.50,06/07/2024
Golurk [Reverse Holo] #35,pokemon-ancient-origins,2.85,7.99,46.00,06/07/2024
Vaporeon #22,pokemon-ancient-origins,2.15,10.45,22.22,06/07/2024
Unown [Reverse Holo] #30,pokemon-ancient-origins,2.76,19.97,45.29,06/07/2024
Ariados #6,pokemon-ancient-origins,1.18,13.82,36.60,06/07/2024
Eevee #63,pokemon-ancient-origins,1.60,13.98,51.54,06/07/2024
Ampharos EX #87,pokemon-ancient-origins,8.33,32.76,121.82,06/07/2024
Entei #14,pokemon-ancient-origins,2.99,25.25,46.75,06/07/2024
Relicanth #23,pokemon-ancient-origins,1.08,N/A,N/A,06/07/2024
Dangerous Energy #82,pokemon-ancient-origins,1.27,14.09,37.06,06/07/2024
Ralts #52,pokemon-ancient-origins,1.36,14.44,37.68,06/07/2024
Unown #30,pokemon-ancient-origins,1.09,13.50,88.88,06/07/2024
Eevee [Reverse Holo] #63,pokemon-ancient-origins,1.99,11.20,75.00,06/07/2024
Energy Retrieval #99,pokemon-ancient-origins,19.99,30.00,59.11,06/07/2024
Vespiquen #10,pokemon-ancient-origins,1.11,13.60,36.22,06/07/2024
Goomy #58,pokemon-ancient-origins,1.15,N/A,N/A,06/07/2024
Entei [Reverse Holo] #15,pokemon-ancient-origins,3.80,30.42,45.00,06/07/2024
Volcarona #18,pokemon-ancient-origins,1.29,22.74,37.00,06/07/2024
Sableye #44,pokemon-ancient-origins,1.24,N/A,51.00,06/07/2024
Spinarak #5,pokemon-ancient-origins,0.99,N/A,N/A,06/07/2024
Cottonee #55,pokemon-ancient-origins,0.99,N/A,N/A,06/07/2024
Ampharos Spirit Link #70,pokemon-ancient-origins,1.17,13.79,36.56,06/07/2024
Trainers' Mail #100,pokemon-ancient-origins,7.24,21.24,57.00,06/07/2024
Volcarona [Reverse Holo] #18,pokemon-ancient-origins,2.07,6.00,126.45,06/07/2024
Rotom #29,pokemon-ancient-origins,0.99,N/A,66.00,06/07/2024
Tyranitar Spirit Link #81,pokemon-ancient-origins,1.50,14.86,38.40,06/07/2024
Flash Energy #83,pokemon-ancient-origins,1.29,14.15,37.17,06/07/2024
Booster Pack,pokemon-ancient-origins,21.88,74.00,N/A,06/07/2024
Claydol #33,pokemon-ancient-origins,1.31,N/A,N/A,06/07/2024
Oddish #1,pokemon-ancient-origins,1.39,14.44,29.99,06/07/2024
Magikarp #19,pokemon-ancient-origins,0.99,27.99,35.54,06/07/2024
Sliggoo #59,pokemon-ancient-origins,0.99,13.21,35.55,06/07/2024
Porygon2 #65,pokemon-ancient-origins,0.98,N/A,N/A,06/07/2024
Hex Maniac #75,pokemon-ancient-origins,1.64,15.32,39.18,06/07/2024
Oddish [Reverse Holo] #1,pokemon-ancient-origins,1.47,8.50,38.24,06/07/2024
Golurk [Reverse Holo] #41,pokemon-ancient-origins,1.42,N/A,N/A,06/07/2024
Wooper #38,pokemon-ancient-origins,1.21,14.05,37.00,06/07/2024
Beldum #47,pokemon-ancient-origins,1.24,N/A,29.99,06/07/2024
Ariados [Reverse Holo] #6,pokemon-ancient-origins,1.37,14.44,37.67,06/07/2024
Virizion [Reverse Holo] #12,pokemon-ancient-origins,1.27,14.12,37.12,06/07/2024
Quagsire #39,pokemon-ancient-origins,0.99,13.21,35.54,06/07/2024
Baltoy [Reverse Holo] #32,pokemon-ancient-origins,1.69,14.86,18.00,06/07/2024
Metang [Reverse Holo] #48,pokemon-ancient-origins,1.25,14.05,37.00,06/07/2024
Porygon-Z #66,pokemon-ancient-origins,1.21,13.92,36.78,06/07/2024
Combee #9,pokemon-ancient-origins,1.12,13.63,36.27,06/07/2024
Regirock [Reverse Holo] #40,pokemon-ancient-origins,1.61,12.99,20.50,06/07/2024
Goomy [Reverse Holo] #58,pokemon-ancient-origins,1.70,15.51,39.52,06/07/2024
Energy Recycler #72,pokemon-ancient-origins,1.76,15.70,39.85,06/07/2024
Level Ball #76,pokemon-ancient-origins,1.27,13.99,36.89,06/07/2024
Kirlia [Reverse Holo] #53,pokemon-ancient-origins,1.79,19.99,39.75,06/07/2024
Wooper [Reverse Holo] #38,pokemon-ancient-origins,1.54,15.00,38.63,06/07/2024
Metagross [Reverse Holo] #50,pokemon-ancient-origins,3.20,8.50,41.00,06/07/2024
Lysandre #78,pokemon-ancient-origins,1.25,14.05,37.00,06/07/2024
Sceptile Spirit Link #80,pokemon-ancient-origins,1.20,20.00,N/A,06/07/2024
Dangerous Energy [Reverse Holo] #82,pokemon-ancient-origins,1.37,14.34,37.50,06/07/2024
Vileplume [Reverse Holo] #3,pokemon-ancient-origins,3.12,18.65,47.26,06/07/2024
Goodra [Reverse Holo] #60,pokemon-ancient-origins,1.97,14.99,41.04,06/07/2024
Larvesta #16,pokemon-ancient-origins,1.05,N/A,N/A,06/07/2024
Gloom [Reverse Holo] #2,pokemon-ancient-origins,1.35,14.38,37.56,06/07/2024
Baltoy #31,pokemon-ancient-origins,0.53,N/A,N/A,06/07/2024
Tyranitar Spirit Link [Reverse Holo] #81,pokemon-ancient-origins,1.44,6.27,38.05,06/07/2024
Regice [Reverse Holo] #24,pokemon-ancient-origins,2.21,14.99,16.50,06/07/2024
Inkay #45,pokemon-ancient-origins,1.29,N/A,N/A,06/07/2024
Inkay [Reverse Holo] #45,pokemon-ancient-origins,1.29,14.18,17.00,06/07/2024
Whimsicott #56,pokemon-ancient-origins,0.99,N/A,N/A,06/07/2024
Faded Town #73,pokemon-ancient-origins,0.79,N/A,N/A,06/07/2024
Golett #34,pokemon-ancient-origins,0.99,N/A,N/A,06/07/2024
Volcarona [Reverse Holo] #17,pokemon-ancient-origins,1.99,16.45,41.13,06/07/2024
Meowth [Reverse Holo] #61,pokemon-ancient-origins,1.96,11.04,40.47,06/07/2024
Porygon2 [Reverse Holo] #65,pokemon-ancient-origins,1.50,50.00,60.00,06/07/2024
Metang #48,pokemon-ancient-origins,1.07,N/A,23.50,06/07/2024
Level Ball [Reverse Holo] #76,pokemon-ancient-origins,2.63,18.53,44.74,06/07/2024
Flash Energy [Reverse Holo] #83,pokemon-ancient-origins,1.69,15.48,39.47,06/07/2024
Kirlia #53,pokemon-ancient-origins,1.08,13.53,36.10,06/07/2024
Lucky Helmet #77,pokemon-ancient-origins,1.33,14.31,37.45,06/07/2024
Persian [Reverse Holo] #62,pokemon-ancient-origins,1.59,15.51,39.52,06/07/2024
Forest of Giant Plants #74,pokemon-ancient-origins,1.27,14.05,37.00,06/07/2024
Vespiquen [Reverse Holo] #11,pokemon-ancient-origins,1.78,15.87,40.15,06/07/2024
Baltoy [Reverse Holo] #31,pokemon-ancient-origins,1.08,N/A,N/A,06/07/2024
Metagross [Reverse Holo] #49,pokemon-ancient-origins,2.44,17.91,36.55,06/07/2024
Porygon [Reverse Holo] #64,pokemon-ancient-origins,1.45,14.22,37.28,06/07/2024
Paint Roller [Reverse Holo] #79,pokemon-ancient-origins,1.38,N/A,N/A,06/07/2024
Elite Trainer Box,pokemon-ancient-origins,780.91,N/A,N/A,06/07/2024
